Prog s-T1 s-T2 a-T1 a-T2 s-m1 a-m1 s-m2 a-m2 s-m3 a-m3 s-m4 a-m4 s-m5 a-m5 s-m6 a-m6
390 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
391 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
392 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
393 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
394 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
395 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
396 4 4 1 1 6 1 6 2 6 2 6 2 6 2 6 2 
397 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
398 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
399 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
400 3 4 2 1 7 2 7 2 7 2 4 3 6 3 6 3 
401 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
402 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
403 4 4 1 1 8 1 8 1 8 1 6 2 8 2 8 2 
404 6 4 1 1 8 1 8 1 8 1 6 2 7 2 7 2 
405 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
406 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
407 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
408 6 4 1 1 8 1 8 1 8 1 6 2 7 2 7 2 
409 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
410 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
411 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
412 7 4 1 1 9 1 9 1 9 1 7 2 8 2 8 2 
413 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
414 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
415 8 4 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
416 3 4 2 1 7 2 6 3 4 3 4 3 4 3 6 3 
417 3 4 2 1 7 2 6 2 5 2 5 2 5 2 6 2 
418 3 4 2 1 7 2 6 2 5 2 5 2 5 2 6 2 
419 4 4 1 1 7 1 6 1 6 1 6 2 6 2 6 2 
420 3 4 2 1 7 2 7 2 5 2 5 2 5 2 7 2 
421 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
422 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
423 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
424 3 4 2 1 7 2 7 2 5 2 5 2 5 2 7 2 
425 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
426 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
427 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
428 4 4 1 1 8 1 8 2 6 2 6 2 6 2 8 2 
429 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
430 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
431 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
432 3 4 2 1 7 2 7 2 7 2 4 3 6 3 6 3 
433 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
434 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
435 4 4 1 1 8 1 8 1 8 1 6 2 8 2 8 2 
436 6 4 1 1 10 1 10 1 8 1 6 2 7 2 9 2 
437 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
438 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
439 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
440 6 4 1 1 10 1 10 1 8 1 6 2 7 2 9 2 
441 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
442 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
443 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
444 7 4 1 1 11 1 11 1 9 1 7 2 8 2 10 2 
445 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
446 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
447 8 4 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
448 3 5 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
449 3 5 2 1 6 2 6 2 6 2 6 1 6 1 6 1 
450 3 5 2 1 6 2 6 2 6 2 6 1 6 1 6 1 
451 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
452 3 5 2 1 6 2 6 1 6 1 6 1 6 1 6 1 
453 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
454 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
455 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
456 3 5 2 1 6 2 6 1 6 1 6 1 6 1 6 1 
457 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
458 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
459 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
460 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
461 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
462 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
463 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
464 3 5 2 1 8 2 8 2 8 2 5 2 6 2 6 2 
465 3 5 2 1 8 2 8 2 8 2 6 1 8 1 8 1 
466 3 5 2 1 8 2 8 2 8 2 6 1 8 1 8 1 
467 4 5 1 1 9 1 9 1 9 1 7 1 9 1 9 1 
468 6 5 1 1 9 1 9 1 9 1 6 1 7 1 7 1 
469 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
470 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
471 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
472 6 5 1 1 9 1 9 1 9 1 6 1 7 1 7 1 
473 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
474 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
475 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
476 7 5 1 1 10 1 10 1 10 1 7 1 8 1 8 1 
477 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
478 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
479 8 5 1 1 11 1 11 1 11 1 11 1 11 1 11 1 
480 3 5 2 1 8 2 6 2 5 2 5 2 5 2 6 2 
481 3 5 2 1 8 2 6 2 6 2 6 1 6 1 6 1 
482 3 5 2 1 8 2 6 2 6 2 6 1 6 1 6 1 
483 4 5 1 1 8 1 7 1 7 1 7 1 7 1 7 1 
484 3 5 2 1 8 2 8 1 6 1 6 1 6 1 8 1 
485 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
486 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
487 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
488 3 5 2 1 8 2 8 1 6 1 6 1 6 1 8 1 
489 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
490 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
491 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
492 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
493 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
494 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
495 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
496 3 5 2 1 8 2 8 2 8 2 5 2 6 2 6 2 
497 3 5 2 1 8 2 8 2 8 2 6 1 8 1 8 1 
498 3 5 2 1 8 2 8 2 8 2 6 1 8 1 8 1 
499 4 5 1 1 9 1 9 1 9 1 7 1 9 1 9 1 
500 6 5 1 1 11 1 11 1 9 1 6 1 7 1 9 1 
501 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
502 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
503 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
504 6 5 1 1 11 1 11 1 9 1 6 1 7 1 9 1 
505 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
506 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
507 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
508 7 5 1 1 12 1 12 1 10 1 7 1 8 1 10 1 
509 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
510 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
511 8 5 1 1 13 1 13 1 11 1 11 1 11 1 13 1 
512 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
513 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
514 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
515 4 3 1 2 5 2 5 2 5 2 5 3 5 2 5 2 
516 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
517 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
518 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
519 5 3 1 2 6 1 6 1 6 1 6 2 6 1 6 1 
520 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
521 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
522 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
523 5 3 1 2 6 1 6 1 6 1 6 2 6 1 6 1 
524 4 3 1 2 5 2 5 2 5 3 5 3 5 3 5 2 
525 5 3 1 2 6 2 6 2 6 2 6 2 6 2 6 2 
526 5 3 1 2 6 2 6 2 6 2 6 2 6 2 6 2 
527 6 3 1 2 7 1 7 1 7 1 7 2 7 1 7 1 
528 3 3 2 2 6 3 6 3 6 3 3 4 6 3 6 3 
529 3 3 2 2 6 3 6 3 6 3 4 3 6 3 6 3 
530 3 3 2 2 6 3 6 3 6 3 4 3 6 3 6 3 
531 4 3 1 2 7 2 7 2 7 2 5 3 7 2 7 2 
532 6 3 1 2 7 2 7 2 7 2 6 3 7 2 7 2 
533 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
534 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
535 7 3 1 2 8 1 8 1 8 1 8 2 8 1 8 1 
536 6 3 1 2 7 2 7 2 7 2 6 3 7 2 7 2 
537 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
538 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
539 7 3 1 2 8 1 8 1 8 1 8 2 8 1 8 1 
540 7 3 1 2 8 2 8 2 8 2 7 3 8 2 8 2 
541 7 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
542 7 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
543 8 3 1 2 9 1 9 1 9 1 9 2 9 1 9 1 
544 3 3 2 2 6 3 6 3 3 4 3 4 3 4 6 3 
545 3 3 2 2 6 3 6 3 4 3 4 3 4 3 6 3 
546 3 3 2 2 6 3 6 3 4 3 4 3 4 3 6 3 
547 4 3 1 2 6 2 6 2 5 2 5 3 5 2 6 2 
548 3 3 2 2 6 3 6 3 4 3 4 3 4 3 6 3 
549 4 3 1 2 7 2 7 2 5 2 5 2 5 2 7 2 
550 4 3 1 2 7 2 7 2 5 2 5 2 5 2 7 2 
551 5 3 1 2 8 1 8 1 6 1 6 2 6 1 8 1 
552 3 3 2 2 6 3 6 3 4 3 4 3 4 3 6 3 
553 4 3 1 2 7 2 7 2 5 2 5 2 5 2 7 2 
554 4 3 1 2 7 2 7 2 5 2 5 2 5 2 7 2 
555 5 3 1 2 8 1 8 1 6 1 6 2 6 1 8 1 
556 4 3 1 2 7 2 7 2 5 3 5 3 5 3 7 2 
557 5 3 1 2 8 2 8 2 6 2 6 2 6 2 8 2 
558 5 3 1 2 8 2 8 2 6 2 6 2 6 2 8 2 
559 6 3 1 2 9 1 9 1 7 1 7 2 7 1 9 1 
560 3 3 2 2 6 3 6 3 6 3 3 4 6 3 6 3 
561 3 3 2 2 6 3 6 3 6 3 4 3 6 3 6 3 
562 3 3 2 2 6 3 6 3 6 3 4 3 6 3 6 3 
563 4 3 1 2 7 2 7 2 7 2 5 3 7 2 7 2 
564 6 3 1 2 9 2 9 2 7 2 6 3 7 2 9 2 
565 6 3 1 2 9 2 9 2 7 2 7 2 7 2 9 2 
566 6 3 1 2 9 2 9 2 7 2 7 2 7 2 9 2 
567 7 3 1 2 10 1 10 1 8 1 8 2 8 1 10 1 
568 6 3 1 2 9 2 9 2 7 2 6 3 7 2 9 2 
569 6 3 1 2 9 2 9 2 7 2 7 2 7 2 9 2 
570 6 3 1 2 9 2 9 2 7 2 7 2 7 2 9 2 
571 7 3 1 2 10 1 10 1 8 1 8 2 8 1 10 1 
572 7 3 1 2 10 2 10 2 8 2 7 3 8 2 10 2 
573 7 3 1 2 10 2 10 2 8 2 8 2 8 2 10 2 
574 7 3 1 2 10 2 10 2 8 2 8 2 8 2 10 2 
575 8 3 1 2 11 1 11 1 9 1 9 2 9 1 11 1 
576 3 4 2 1 4 3 4 3 4 3 4 3 4 3 4 3 
577 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
578 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
579 4 4 1 1 6 1 6 1 6 1 6 2 6 2 6 2 
580 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
581 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
582 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
583 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
584 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
585 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
586 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
587 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
588 4 4 1 1 6 1 6 2 6 2 6 2 6 2 6 2 
589 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
590 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
591 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
592 3 4 2 1 7 2 7 2 7 2 4 3 6 3 6 3 
593 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
594 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
595 4 4 1 1 8 1 8 1 8 1 6 2 8 2 8 2 
596 6 4 1 1 8 1 8 1 8 1 6 2 7 2 7 2 
597 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
598 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
599 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
600 6 4 1 1 8 1 8 1 8 1 6 2 7 2 7 2 
601 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
602 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
603 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
604 7 4 1 1 9 1 9 1 9 1 7 2 8 2 8 2 
605 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
606 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
607 8 4 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
608 3 4 2 1 7 2 6 3 4 3 4 3 4 3 6 3 
609 3 4 2 1 7 2 6 2 5 2 5 2 5 2 6 2 
610 3 4 2 1 7 2 6 2 5 2 5 2 5 2 6 2 
611 4 4 1 1 7 1 6 1 6 1 6 2 6 2 6 2 
612 3 4 2 1 7 2 7 2 5 2 5 2 5 2 7 2 
613 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
614 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
615 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
616 3 4 2 1 7 2 7 2 5 2 5 2 5 2 7 2 
617 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
618 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
619 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
620 4 4 1 1 8 1 8 2 6 2 6 2 6 2 8 2 
621 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
622 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
623 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
624 3 4 2 1 7 2 7 2 7 2 4 3 6 3 6 3 
625 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
626 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
627 4 4 1 1 8 1 8 1 8 1 6 2 8 2 8 2 
628 6 4 1 1 10 1 10 1 8 1 6 2 7 2 9 2 
629 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
630 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
631 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
632 6 4 1 1 10 1 10 1 8 1 6 2 7 2 9 2 
633 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
634 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
635 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
636 7 4 1 1 11 1 11 1 9 1 7 2 8 2 10 2 
637 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
638 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
639 8 4 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
640 3 4 2 1 4 3 4 3 4 3 4 3 4 3 4 3 
641 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
642 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
643 4 4 1 1 6 1 6 1 6 1 6 2 6 2 6 2 
644 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
645 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
646 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
647 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
648 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
649 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
650 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
651 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
652 4 4 1 1 6 1 6 2 6 2 6 2 6 2 6 2 
653 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
654 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
655 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
656 3 4 2 1 7 2 7 2 7 2 4 3 6 3 6 3 
657 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
658 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
659 4 4 1 1 8 1 8 1 8 1 6 2 8 2 8 2 
660 6 4 1 1 8 1 8 1 8 1 6 2 7 2 7 2 
661 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
662 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
663 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
664 6 4 1 1 8 1 8 1 8 1 6 2 7 2 7 2 
665 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
666 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
667 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
668 7 4 1 1 9 1 9 1 9 1 7 2 8 2 8 2 
669 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
670 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
671 8 4 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
672 3 4 2 1 7 2 6 3 4 3 4 3 4 3 6 3 
673 3 4 2 1 7 2 6 2 5 2 5 2 5 2 6 2 
674 3 4 2 1 7 2 6 2 5 2 5 2 5 2 6 2 
675 4 4 1 1 7 1 6 1 6 1 6 2 6 2 6 2 
676 3 4 2 1 7 2 7 2 5 2 5 2 5 2 7 2 
677 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
678 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
679 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
680 3 4 2 1 7 2 7 2 5 2 5 2 5 2 7 2 
681 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
682 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
683 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
684 4 4 1 1 8 1 8 2 6 2 6 2 6 2 8 2 
685 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
686 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
687 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
688 3 4 2 1 7 2 7 2 7 2 4 3 6 3 6 3 
689 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
690 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
691 4 4 1 1 8 1 8 1 8 1 6 2 8 2 8 2 
692 6 4 1 1 10 1 10 1 8 1 6 2 7 2 9 2 
693 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
694 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
695 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
696 6 4 1 1 10 1 10 1 8 1 6 2 7 2 9 2 
697 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
698 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
699 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
700 7 4 1 1 11 1 11 1 9 1 7 2 8 2 10 2 
701 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
702 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
703 8 4 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
704 3 5 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
705 3 5 2 1 6 2 6 2 6 2 6 1 6 1 6 1 
706 3 5 2 1 6 2 6 2 6 2 6 1 6 1 6 1 
707 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
708 3 5 2 1 6 2 6 1 6 1 6 1 6 1 6 1 
709 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
710 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
711 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
712 3 5 2 1 6 2 6 1 6 1 6 1 6 1 6 1 
713 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
714 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
715 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
716 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
717 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
718 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
719 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
720 3 5 2 1 8 2 8 2 8 2 5 2 6 2 6 2 
721 3 5 2 1 8 2 8 2 8 2 6 1 8 1 8 1 
722 3 5 2 1 8 2 8 2 8 2 6 1 8 1 8 1 
723 4 5 1 1 9 1 9 1 9 1 7 1 9 1 9 1 
724 6 5 1 1 9 1 9 1 9 1 6 1 7 1 7 1 
725 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
726 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
727 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
728 6 5 1 1 9 1 9 1 9 1 6 1 7 1 7 1 
729 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
730 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
731 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
732 7 5 1 1 10 1 10 1 10 1 7 1 8 1 8 1 
733 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
734 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
735 8 5 1 1 11 1 11 1 11 1 11 1 11 1 11 1 
736 3 5 2 1 8 2 6 2 5 2 5 2 5 2 6 2 
737 3 5 2 1 8 2 6 2 6 2 6 1 6 1 6 1 
738 3 5 2 1 8 2 6 2 6 2 6 1 6 1 6 1 
739 4 5 1 1 8 1 7 1 7 1 7 1 7 1 7 1 
740 3 5 2 1 8 2 8 1 6 1 6 1 6 1 8 1 
741 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
742 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
743 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
744 3 5 2 1 8 2 8 1 6 1 6 1 6 1 8 1 
745 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
746 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
747 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
748 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
749 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
750 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
751 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
752 3 5 2 1 8 2 8 2 8 2 5 2 6 2 6 2 
753 3 5 2 1 8 2 8 2 8 2 6 1 8 1 8 1 
754 3 5 2 1 8 2 8 2 8 2 6 1 8 1 8 1 
755 4 5 1 1 9 1 9 1 9 1 7 1 9 1 9 1 
756 6 5 1 1 11 1 11 1 9 1 6 1 7 1 9 1 
757 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
758 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
759 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
760 6 5 1 1 11 1 11 1 9 1 6 1 7 1 9 1 
761 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
762 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
763 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
764 7 5 1 1 12 1 12 1 10 1 7 1 8 1 10 1 
765 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
766 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
767 8 5 1 1 13 1 13 1 11 1 11 1 11 1 13 1 
768 3 4 2 1 4 3 4 3 4 3 4 3 4 3 4 3 
769 3 4 2 1 5 3 5 3 5 3 5 2 5 3 5 3 
770 3 4 2 1 5 3 5 3 5 3 5 2 5 3 5 3 
771 4 4 1 1 6 2 6 2 6 2 6 2 6 2 6 2 
772 3 4 2 1 5 3 5 3 5 2 5 2 5 2 5 3 
773 4 4 1 1 6 2 6 2 6 2 6 1 6 2 6 2 
774 4 4 1 1 6 2 6 2 6 2 6 1 6 2 6 2 
775 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
776 3 4 2 1 5 3 5 3 5 2 5 2 5 2 5 3 
777 4 4 1 1 6 2 6 2 6 2 6 1 6 2 6 2 
778 4 4 1 1 6 2 6 2 6 2 6 1 6 2 6 2 
779 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
780 4 4 1 1 6 2 6 2 6 2 6 2 6 2 6 2 
781 5 4 1 1 7 2 7 2 7 2 7 1 7 2 7 2 
782 5 4 1 1 7 2 7 2 7 2 7 1 7 2 7 2 
783 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
784 3 4 2 1 7 3 7 3 7 3 4 3 7 3 7 3 
785 3 4 2 1 7 3 7 3 7 3 5 2 7 3 7 3 
786 3 4 2 1 7 3 7 3 7 3 5 2 7 3 7 3 
