Prog s-T1 s-T2 a-T1 a-T2 s-m1 a-m1 s-m2 a-m2 s-m3 a-m3 s-m4 a-m4 s-m5 a-m5 s-m6 a-m6
89 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
90 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
91 7 3 1 2 8 1 8 1 8 1 8 2 8 2 8 2 
92 7 3 1 2 8 2 8 2 8 2 7 3 7 3 7 3 
93 7 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
94 7 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
95 8 3 1 2 9 1 9 1 9 1 9 2 9 2 9 2 
96 3 3 2 2 6 3 3 4 3 4 3 4 3 4 3 4 
97 3 3 2 2 6 3 4 3 4 3 4 3 4 3 4 3 
98 3 3 2 2 6 3 4 3 4 3 4 3 4 3 4 3 
99 4 3 1 2 6 2 5 2 5 2 5 3 5 3 5 3 
100 3 3 2 2 6 3 4 3 4 3 4 3 4 3 4 3 
101 4 3 1 2 7 2 5 2 5 2 5 2 5 2 5 2 
102 4 3 1 2 7 2 5 2 5 2 5 2 5 2 5 2 
103 5 3 1 2 8 1 6 1 6 1 6 2 6 2 6 2 
104 3 3 2 2 6 3 4 3 4 3 4 3 4 3 4 3 
105 4 3 1 2 7 2 5 2 5 2 5 2 5 2 5 2 
106 4 3 1 2 7 2 5 2 5 2 5 2 5 2 5 2 
107 5 3 1 2 8 1 6 1 6 1 6 2 6 2 6 2 
108 4 3 1 2 7 2 5 3 5 3 5 3 5 3 5 3 
109 5 3 1 2 8 2 6 2 6 2 6 2 6 2 6 2 
110 5 3 1 2 8 2 6 2 6 2 6 2 6 2 6 2 
111 6 3 1 2 9 1 7 1 7 1 7 2 7 2 7 2 
112 3 3 2 2 6 3 6 3 6 3 3 4 3 4 3 4 
113 3 3 2 2 6 3 6 3 6 3 4 3 4 3 4 3 
114 3 3 2 2 6 3 6 3 6 3 4 3 4 3 4 3 
115 4 3 1 2 7 2 7 2 7 2 5 3 5 3 5 3 
116 6 3 1 2 9 2 7 2 7 2 6 3 6 3 6 3 
117 6 3 1 2 9 2 7 2 7 2 7 2 7 2 7 2 
118 6 3 1 2 9 2 7 2 7 2 7 2 7 2 7 2 
119 7 3 1 2 10 1 8 1 8 1 8 2 8 2 8 2 
120 6 3 1 2 9 2 7 2 7 2 6 3 6 3 6 3 
121 6 3 1 2 9 2 7 2 7 2 7 2 7 2 7 2 
122 6 3 1 2 9 2 7 2 7 2 7 2 7 2 7 2 
123 7 3 1 2 10 1 8 1 8 1 8 2 8 2 8 2 
124 7 3 1 2 10 2 8 2 8 2 7 3 7 3 7 3 
125 7 3 1 2 10 2 8 2 8 2 8 2 8 2 8 2 
126 7 3 1 2 10 2 8 2 8 2 8 2 8 2 8 2 
127 8 3 1 2 11 1 9 1 9 1 9 2 9 2 9 2 
128 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
129 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
130 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
131 4 3 1 2 5 2 5 2 5 2 5 3 5 3 5 3 
132 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
133 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
134 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
135 5 3 1 2 6 1 6 1 6 1 6 2 6 2 6 2 
136 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
137 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
138 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
139 5 3 1 2 6 1 6 1 6 1 6 2 6 2 6 2 
140 4 3 1 2 5 2 5 3 5 3 5 3 5 3 5 3 
141 5 3 1 2 6 2 6 2 6 2 6 2 6 2 6 2 
142 5 3 1 2 6 2 6 2 6 2 6 2 6 2 6 2 
143 6 3 1 2 7 1 7 1 7 1 7 2 7 2 7 2 
144 3 3 2 2 6 3 6 3 6 3 3 4 3 4 3 4 
145 3 3 2 2 6 3 6 3 6 3 4 3 4 3 4 3 
146 3 3 2 2 6 3 6 3 6 3 4 3 4 3 4 3 
147 4 3 1 2 7 2 7 2 7 2 5 3 5 3 5 3 
148 6 3 1 2 7 2 7 2 7 2 6 3 6 3 6 3 
149 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
150 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
151 7 3 1 2 8 1 8 1 8 1 8 2 8 2 8 2 
152 6 3 1 2 7 2 7 2 7 2 6 3 6 3 6 3 
153 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
154 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
155 7 3 1 2 8 1 8 1 8 1 8 2 8 2 8 2 
156 7 3 1 2 8 2 8 2 8 2 7 3 7 3 7 3 
157 7 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
158 7 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
159 8 3 1 2 9 1 9 1 9 1 9 2 9 2 9 2 
160 3 3 2 2 6 3 3 4 3 4 3 4 3 4 3 4 
161 3 3 2 2 6 3 4 3 4 3 4 3 4 3 4 3 
162 3 3 2 2 6 3 4 3 4 3 4 3 4 3 4 3 
163 4 3 1 2 6 2 5 2 5 2 5 3 5 3 5 3 
164 3 3 2 2 6 3 4 3 4 3 4 3 4 3 4 3 
165 4 3 1 2 7 2 5 2 5 2 5 2 5 2 5 2 
166 4 3 1 2 7 2 5 2 5 2 5 2 5 2 5 2 
167 5 3 1 2 8 1 6 1 6 1 6 2 6 2 6 2 
168 3 3 2 2 6 3 4 3 4 3 4 3 4 3 4 3 
169 4 3 1 2 7 2 5 2 5 2 5 2 5 2 5 2 
170 4 3 1 2 7 2 5 2 5 2 5 2 5 2 5 2 
171 5 3 1 2 8 1 6 1 6 1 6 2 6 2 6 2 
172 4 3 1 2 7 2 5 3 5 3 5 3 5 3 5 3 
173 5 3 1 2 8 2 6 2 6 2 6 2 6 2 6 2 
174 5 3 1 2 8 2 6 2 6 2 6 2 6 2 6 2 
175 6 3 1 2 9 1 7 1 7 1 7 2 7 2 7 2 
176 3 3 2 2 6 3 6 3 6 3 3 4 3 4 3 4 
177 3 3 2 2 6 3 6 3 6 3 4 3 4 3 4 3 
178 3 3 2 2 6 3 6 3 6 3 4 3 4 3 4 3 
179 4 3 1 2 7 2 7 2 7 2 5 3 5 3 5 3 
180 6 3 1 2 9 2 7 2 7 2 6 3 6 3 6 3 
181 6 3 1 2 9 2 7 2 7 2 7 2 7 2 7 2 
182 6 3 1 2 9 2 7 2 7 2 7 2 7 2 7 2 
183 7 3 1 2 10 1 8 1 8 1 8 2 8 2 8 2 
184 6 3 1 2 9 2 7 2 7 2 6 3 6 3 6 3 
185 6 3 1 2 9 2 7 2 7 2 7 2 7 2 7 2 
186 6 3 1 2 9 2 7 2 7 2 7 2 7 2 7 2 
187 7 3 1 2 10 1 8 1 8 1 8 2 8 2 8 2 
188 7 3 1 2 10 2 8 2 8 2 7 3 7 3 7 3 
189 7 3 1 2 10 2 8 2 8 2 8 2 8 2 8 2 
190 7 3 1 2 10 2 8 2 8 2 8 2 8 2 8 2 
191 8 3 1 2 11 1 9 1 9 1 9 2 9 2 9 2 
192 3 4 2 1 4 3 4 3 4 3 4 3 4 3 4 3 
193 3 4 2 1 5 3 5 3 5 3 5 2 5 2 5 2 
194 3 4 2 1 5 3 5 3 5 3 5 2 5 2 5 2 
195 4 4 1 1 6 2 6 2 6 2 6 2 6 2 6 2 
196 3 4 2 1 5 3 5 2 5 2 5 2 5 2 5 2 
197 4 4 1 1 6 2 6 2 6 2 6 1 6 1 6 1 
198 4 4 1 1 6 2 6 2 6 2 6 1 6 1 6 1 
199 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
200 3 4 2 1 5 3 5 2 5 2 5 2 5 2 5 2 
201 4 4 1 1 6 2 6 2 6 2 6 1 6 1 6 1 
202 4 4 1 1 6 2 6 2 6 2 6 1 6 1 6 1 
203 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
204 4 4 1 1 6 2 6 2 6 2 6 2 6 2 6 2 
205 5 4 1 1 7 2 7 2 7 2 7 1 7 1 7 1 
206 5 4 1 1 7 2 7 2 7 2 7 1 7 1 7 1 
207 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
208 3 4 2 1 7 3 7 3 7 3 4 3 4 3 4 3 
209 3 4 2 1 7 3 7 3 7 3 5 2 5 2 5 2 
210 3 4 2 1 7 3 7 3 7 3 5 2 5 2 5 2 
211 4 4 1 1 8 2 8 2 8 2 6 2 6 2 6 2 
212 6 4 1 1 8 2 8 2 8 2 6 2 6 2 6 2 
213 6 4 1 1 8 2 8 2 8 2 8 1 8 1 8 1 
214 6 4 1 1 8 2 8 2 8 2 8 1 8 1 8 1 
215 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
216 6 4 1 1 8 2 8 2 8 2 6 2 6 2 6 2 
217 6 4 1 1 8 2 8 2 8 2 8 1 8 1 8 1 
218 6 4 1 1 8 2 8 2 8 2 8 1 8 1 8 1 
219 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
220 7 4 1 1 9 2 9 2 9 2 7 2 7 2 7 2 
221 7 4 1 1 9 2 9 2 9 2 9 1 9 1 9 1 
222 7 4 1 1 9 2 9 2 9 2 9 1 9 1 9 1 
223 8 4 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
224 3 4 2 1 7 3 4 3 4 3 4 3 4 3 4 3 
225 3 4 2 1 7 3 5 3 5 3 5 2 5 2 5 2 
226 3 4 2 1 7 3 5 3 5 3 5 2 5 2 5 2 
227 4 4 1 1 7 2 6 2 6 2 6 2 6 2 6 2 
228 3 4 2 1 7 3 5 2 5 2 5 2 5 2 5 2 
229 4 4 1 1 8 2 6 2 6 2 6 1 6 1 6 1 
230 4 4 1 1 8 2 6 2 6 2 6 1 6 1 6 1 
231 5 4 1 1 9 1 7 1 7 1 7 1 7 1 7 1 
232 3 4 2 1 7 3 5 2 5 2 5 2 5 2 5 2 
233 4 4 1 1 8 2 6 2 6 2 6 1 6 1 6 1 
234 4 4 1 1 8 2 6 2 6 2 6 1 6 1 6 1 
235 5 4 1 1 9 1 7 1 7 1 7 1 7 1 7 1 
236 4 4 1 1 8 2 6 2 6 2 6 2 6 2 6 2 
237 5 4 1 1 9 2 7 2 7 2 7 1 7 1 7 1 
238 5 4 1 1 9 2 7 2 7 2 7 1 7 1 7 1 
239 6 4 1 1 10 1 8 1 8 1 8 1 8 1 8 1 
240 3 4 2 1 7 3 7 3 7 3 4 3 4 3 4 3 
241 3 4 2 1 7 3 7 3 7 3 5 2 5 2 5 2 
242 3 4 2 1 7 3 7 3 7 3 5 2 5 2 5 2 
243 4 4 1 1 8 2 8 2 8 2 6 2 6 2 6 2 
244 6 4 1 1 10 2 8 2 8 2 6 2 6 2 6 2 
245 6 4 1 1 10 2 8 2 8 2 8 1 8 1 8 1 
246 6 4 1 1 10 2 8 2 8 2 8 1 8 1 8 1 
247 7 4 1 1 11 1 9 1 9 1 9 1 9 1 9 1 
248 6 4 1 1 10 2 8 2 8 2 6 2 6 2 6 2 
249 6 4 1 1 10 2 8 2 8 2 8 1 8 1 8 1 
250 6 4 1 1 10 2 8 2 8 2 8 1 8 1 8 1 
251 7 4 1 1 11 1 9 1 9 1 9 1 9 1 9 1 
252 7 4 1 1 11 2 9 2 9 2 7 2 7 2 7 2 
253 7 4 1 1 11 2 9 2 9 2 9 1 9 1 9 1 
254 7 4 1 1 11 2 9 2 9 2 9 1 9 1 9 1 
255 8 4 1 1 12 1 10 1 10 1 10 1 10 1 10 1 
256 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
257 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
258 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
259 4 3 1 2 5 2 5 2 5 2 5 3 5 2 5 2 
260 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
261 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
262 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
263 5 3 1 2 6 1 6 1 6 1 6 2 6 1 6 1 
264 3 3 2 2 4 3 4 3 4 3 4 3 4 3 4 3 
265 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
266 4 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
267 5 3 1 2 6 1 6 1 6 1 6 2 6 1 6 1 
268 4 3 1 2 5 2 5 2 5 3 5 3 5 3 5 2 
269 5 3 1 2 6 2 6 2 6 2 6 2 6 2 6 2 
270 5 3 1 2 6 2 6 2 6 2 6 2 6 2 6 2 
271 6 3 1 2 7 1 7 1 7 1 7 2 7 1 7 1 
272 3 3 2 2 6 3 6 3 6 3 3 4 6 3 6 3 
273 3 3 2 2 6 3 6 3 6 3 4 3 6 3 6 3 
274 3 3 2 2 6 3 6 3 6 3 4 3 6 3 6 3 
275 4 3 1 2 7 2 7 2 7 2 5 3 7 2 7 2 
276 6 3 1 2 7 2 7 2 7 2 6 3 7 2 7 2 
277 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
278 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
279 7 3 1 2 8 1 8 1 8 1 8 2 8 1 8 1 
280 6 3 1 2 7 2 7 2 7 2 6 3 7 2 7 2 
281 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
282 6 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
